,_id,content,from,url,zhuti
0,584e4e8c2face0273c7545c5,"[栏目, 疫苗, 水, 水, 杀菌, 疫苗, 伤口, 针眼, 澡, 误会, 疫苗, 头痛, 肌肉, 酸痛, 疫苗, 疫苗, 避孕套, 避孕套, 套套, 病毒, 避孕套, 乳胶, 材质, 乳胶, 分子, 间隙, 病毒, 直径, 病毒, 液体, 流动性, 乳胶, 膜, 体液, 乳胶, 分子, 病毒, 直径, 病毒, 避孕套, 病毒, 关键, 乳胶, 膜, 针孔, 合格, 避孕套, 性传播, 公共卫生, 性病, 避孕套, 套套, 性病, 预防措施, 降血糖, 降血糖, 定论, 茶叶, 咖啡因, 血糖, 结论, 科学家, 血糖, 效果, 血糖, 血糖, 血糖, 血糖, 市场, 旗号, 降糖, 茶, 血糖, 钱, 血脂高, 肉, 血脂高, 脂肪, 肉, 营养物质, 脂肪, 血脂, 脂, 饭菜, 零食, 总, 热量, 高脂, 猪, 五花肉, 排骨, 肥牛, 肥羊, 脂肪, 总量, 高脂, 核桃, 瓜子, 腰果, 香果, ...]",丁香园,/faq/8015,栏目 · 来问（七）
0,584e4e8d2face0273c7545c6,"[病, 病, 病, 病, 蛋白质, 肉, 蛋, 病, 优质, 蛋白, 肉, 蛋, 奶, 动物性, 优质, 蛋白, 蛋白质, 总量, 素食, 大豆, 制品, 豆腐, 豆干, 豆浆, 蛋白质, 量, 病, 脂肪, 碳水化合物, 病, 脂肪, 碳水化合物, 脂肪, 供给量, 总, 能量, 油脂, 用油, 油脂, 亚油酸, 油, 芝麻油, 植物油, 动物油, 胆固醇, 摄入量, 碳水化合物, 供给量, 总, 热量, 病, 微量元素, 病, 微量元素, 抗衰老, 营养物质, 蔬菜, 坚果, 种子, 食用, 坚果, 种子, 食用油, 病, 摄食, 铁, 锌, 硒, 病, 病, 味, 戒烟, 病, 时, 食欲, 摄食, 餐次, 护理, 成, 流质, 半流质, 病, 肠, 经口, 经口, 胃肠道, 肠, 肠, 口腔疾病, 需求量, 经口, 摄食, 甲亢, 胃肠道, 功能性, 炎性, 肠道, 肝脏, 胰腺, 综合征, ...]",丁香园,/faq/6388,阿尔茨海默病（老年痴呆）之怎么吃
0,584e4e8e2face0273c7545c7,"[病, 病, 病, 脑, 退行性, 记忆力, 智能, 病, 性格, 模式, 习惯, 病, 病, 总, 例数, 老年人, 死因, 病, 患病率, 年龄, 患病率, 患病率, 老年人, 患病率, 男性, 女性, 患病率, 病, 病, 生物, 心理因素, 病, 家族史, 女性, 头部, 外伤, 病, 母, 病毒感染, 丧偶, 年龄, 性别, 男性, 女性, 老人, 躯体, 骨折, 精神, 女性, 男性, 男, 病, 综合征, 智能, 思维能力, 进行性, 精神, 情绪, 性格, 病, 病, 病, 预兆, 预兆, 事, 问, 饭菜, 字词, 语句, 概念, 住所, 街道, 迷路, 判断力, 受骗上当, 密码, 存款, 数额, 物品, 废品, 脾气, 短时间, 情绪, 状态, 性格, 热情, 病, 期, 记忆力, 事, 判断能力, 事件, 购物, 事物, 情感, 淡漠, 地点, 人物, 视, 空间, ...]",丁香园,/faq/4828,阿尔茨海默病
0,584e4e8f2face0273c7545c8,"[复方, 药, 盐酸, 伪麻黄碱, 盐酸, 伪麻黄碱, 幼儿, 鼻塞, 流涕, 镇, 口服, 口服, 年龄, 体重, 用量, 月龄, 体重, 月龄, 体重, 月龄, 体重, 月龄, 体重, 鼻塞, 鼻子, 鼻塞, 小儿, 滴剂, 滴剂, 量具, 体积, 计量, 口服, 溶液剂, 口服, 悬剂, 口服, 乳剂, 液体, 制剂, 口服, 口服, 鼻塞, 鼻塞, 间隔, 短时间, 过量, 服药, 皮疹, 精神, 胃肠道, 用药, 口服, 口服, 痰, 痰, 镇, 痰, 障碍, 痰, 药店, 处方药, 处方, 药店, 伪麻黄碱, 身份证, 信息, 效果, 伪麻黄碱, 用药, 感冒药, 孩子, 时, 仔细阅读, 药品, 说明书, 孩子, 退烧药, 孩子, 小儿, 鼻塞, 流涕, 孩子, 孩子, 孩子, 头痛, 效果, 盲目, 孩子, 孩子, 细菌, 孩子, 口服, 效果, 季节, 对症, 孩子, 流涕, 时, 盲目, ...]",丁香园,/faq/3833,艾畅
0,584e4e912face0273c7545c9,"[艾滋病, 艾滋病, 艾滋病, 全名是, 综合征, 英文名称, 单词, 大写字母, 病毒, 传染性, 免疫系统, 肿瘤, 艾滋病, 艾滋病, 病毒, 淋巴细胞, 机体, 癌变, 外界, 癌症, 艾滋病, 危, 男性, 吸毒者, 性关系, 男性, 性伴侣, 使用率, 肛交, 黏膜, 病毒传播, 吸毒者, 注射器, 血液, 性关系, 性行为, 概率, 性伴侣, 血液制品, 艾滋病, 感染者, 艾滋病, 感染者, 报告, 感染者, 疫情, 低水平, 艾滋病, 感染率, 性传播, 艾滋病, 艾滋病, 传染病, 病毒, 感染者, 艾滋病, 传染源, 血液, 精液, 阴道, 分泌物, 眼泪, 乳汁, 唾液, 汗液, 眼泪, 唾液, 汗液, 病毒, 艾滋病, 艾滋病, 性传播, 血液, 性传播, 性交时, 黏膜, 伤口, 血液, 注射器, 血液制品, 生活用品, 母亲, 胎盘, 胎儿, 生, 孩子, 时, 孩子, 产道, 哺乳, 时, 艾滋病, 艾滋病, 感染者, 共用, 办公, 用具, 用具, 餐具, 空间, ...]",丁香园,/faq/4401,艾滋病
0,584e4e922face0273c7545ca,"[癌性, 疼痛, 癌痛, 疼痛, 癌性, 疼痛, 癌痛, 肿瘤发生, 部位, 疼痛, 肿瘤, 癌痛, 疼痛, 癌症, 癌症, 局部, 局部, 神经, 癌症, 疼痛, 癌症, 癌症病人, 床上, 褥疮, 疼痛, 医源性, 疼痛, 肿瘤, 疼痛, 肿瘤, 肿瘤, 肿瘤, 关节炎, 痛风, 疼痛, 肿瘤, 疼痛, 肿瘤, 疼痛, 疼痛, 疼痛, 疼痛, 疼痛, 癌痛, 癌痛, 心理, 质量, 疼痛, 心理, 食欲, 质量, 癌痛, 癌痛, 肿瘤, 肿瘤, 癌痛, 肿瘤, 肿瘤, 疼痛, 癌痛, 肿瘤, 癌痛, 肿瘤, 肿瘤, 癌痛, 疼痛, 癌痛, 体验, 精神, 心理因素, 疼痛, 消极, 心态, 疼痛, 癌痛, 癌痛, 癌痛, 疼痛, 疼痛, 疼痛, 感受器, 疼痛, 神经病, 理性, 疼痛, 感受器, 疼痛, 感受器, 皮肤, 肌肉, 部位, 疼痛, 神经病, 理性, 疼痛, 时, 疼痛, 化疗, 部位, 疼痛, ...]",丁香园,/faq/4249,癌性疼痛
0,584e4e932face0273c7545cb,"[氢氯, 噻嗪, 复方, 制剂, 血管, 素, 受体, 拮抗剂, 类药物, 氢氯, 噻嗪, 利尿剂, 有效性, 方便性, 高血压, 时, 复方, 制剂, 噻嗪, 血管, 素, 受体, 拮抗剂, 类药物, 氢氯, 噻嗪, 利尿剂, 规格, 氢氯, 噻嗪, 氢氯, 噻嗪, 高血压, 有效性, 方便性, 高血压病, 血管, 素, 受体, 血管, 血压, 心血管, 肾脏, 氢氯, 噻嗪, 噻嗪, 利尿剂, 强度, 利尿, 水, 钠, 血压, 氢氯, 噻嗪, 钙, 离子, 细胞, 流, 血管, 高血压, 类药物, 利尿剂, 高血压, 药片, 服药, 高血压, 血压, 氢氯, 噻嗪, 规格, 规格, 妇女, 哺乳期, 妇女, 血管, 素, 类药物, 类药物, 血管, 神经性, 水肿, 肾动脉, 肾功能, 氢氯, 噻嗪, 肌酐, 清除率, 高钙血症, 氢氯, 噻嗪, 血钙, 氢氯, 噻嗪, 衍生物, 氢氯, 噻嗪, 血钾, 痛风, 氢氯, 噻嗪, ...]",丁香园,/faq/4685,安博诺
0,584e4e942face0273c7545cc,"[用药, 病, 原发性, 高血压, 高血压, 糖尿病, 肾病, 降血压, 血管, 素, 受体, 血管, 血压, 糖尿病, 痛风, 血脂, 高血压, 头痛, 胃肠道, 性, 低血压, 骨骼肌, 疼痛, 皮疹, 心动过速, 潮红, 胸痛, 性功能, 障碍, 血管, 神经性, 水肿, 血, 钾, 过量, 过量, 低血压, 心动过速, 心动, 疗法, 利尿剂, 血, 钠, 低血压, 保钾, 利尿剂, 氨苯喋啶, 时, 血钾, 高血压, 计划, 时, 同类, 降压药, 哺乳期, 血, 利尿, 血管性, 高血压, 血管, 素, 受体, 效应, 肾功能, 肾脏, 时, 血清, 钾, 时, 血清, 钾, 主动脉, 梗阻性, 心肌病, 血管, 扩张剂, 主动脉, 性, 心肌病, 原, 醛固酮, 原, 醛固酮, 症症, 肾素, 血管, 素, 高血压, 利尿剂, 高血压, 保钾, 利尿剂, 非甾体, 抗炎药, 利尿剂, 高血压, 降血压, 时, 降血压, 效应, ...]",丁香园,/faq/4765,安博维（厄贝沙坦片）用药问答
0,584e4e962face0273c7545cd,"[鼻窦炎, 鼻窦, 鼻窦, 鼻窦, 鼻窦, 鼻腔, 含气, 空腔, 上颌, 额, 蝶窦, 通向, 鼻腔, 鼻部, 灰尘, 细菌, 异物, 分泌物, 鼻咽, 部, 形象, 比喻, 鼻腔, 客厅, 鼻窦, 客厅, 小房间, 房间, 清洁工, 垃圾, 后门, 会患, 鼻窦炎, 鼻窦炎, 抵抗力, 糖尿病, 鼻部, 鼻中隔, 偏曲, 过敏性, 鼻炎, 细菌, 器官, 牙周炎, 外伤, 异物, 鼻腔, 鼻窦, 窦口, 鼻窦炎, 鼻窦炎, 急性, 鼻窦炎, 鼻塞, 流涕, 嗅觉, 鼻, 疼痛, 鼻窦炎, 鼻塞, 流涕, 嗅觉, 鼻部, 鼻出血, 鼻, 疼痛, 时, 头颅, 鼻窦炎, 鼻窦炎, 头痛, 鼻窦, 内脓性, 分泌物, 聚积, 鼻粘膜, 头痛, 额窦炎, 疼痛, 部位, 前额, 疼痛, 部位, 鼻根, 上颌, 疼痛, 面颊, 牙痛, 疼痛, 侧向, 蝶窦, 炎, 疼痛, 后脑勺, 处, 鼻塞, 脑缺氧, 头晕, 头痛, 部位, ...]",丁香园,/faq/2447,鼻窦炎
0,584e4e972face0273c7545ce,"[鼻炎, 鼻炎, 鼻炎, 急性, 鼻炎, 鼻炎, 鼻炎, 过敏性, 鼻炎, 萎缩性, 鼻炎, 鼻炎, 鼻炎, 急性, 鼻炎, 鼻塞, 流涕, 鼻部, 嗅觉, 头痛, 鼻炎, 鼻塞, 流涕, 嗅觉, 过敏性, 鼻炎, 流涕, 鼻塞, 萎缩性, 鼻炎, 鼻塞, 鼻部, 鼻出血, 嗅觉, 呼气, 臭味, 头痛, 鼻炎, 耳, 鼻腔, 管道, 咽鼓管, 管道, 鼓膜, 气压, 鼻炎, 时, 鼻粘膜, 分泌物, 咽鼓管, 咽鼓管, 发炎, 咽鼓管, 鼓膜, 气压, 耳, 鼻炎, 流眼泪, 过敏性, 鼻炎, 时, 眼, 结膜炎, 眼, 流泪, 鼻腔, 管道, 鼻, 泪管, 眼, 眼部, 泪液, 管道, 鼻腔, 发炎, 粘膜, 管道, 眼泪, 鼻炎, 头痛, 鼻炎, 时, 鼻粘膜, 头痛, 鼻塞, 脑缺氧, 头痛, 萎缩性, 鼻炎, 鼻腔, 鼻腔, 保温, 冷空气, 鼻粘膜, 头痛, 鼻炎, 嗅觉, 鼻腔, 嗅神经, 鼻炎, ...]",丁香园,/faq/2512,鼻炎
